"model","FH","MAE","MAPE","RMSE"
"VMD-STACK","1-steps",0.349779195823367,0.050840323261278,0.457580088530421
"knn","1-steps",0.356575582468784,0.0519481384956475,0.463139601705827
"pls","1-steps",0.351595768435627,0.0511383758228385,0.458429555133064
"ridge","1-steps",0.351571824223678,0.0511463899197177,0.458182761301383
"svmLinear2","1-steps",0.36686076750192,0.0543591660773927,0.473878263670753
