"model","FH","MAE","MAPE","RMSE"
"VMD-STACK","3-steps",0.533992353554756,0.100372247598065,0.737478230698456
"knn","3-steps",0.552961823661286,0.102878817309702,0.762798983061926
"pls","3-steps",0.518941802523998,0.0972378770630524,0.715473810838542
"ridge","3-steps",0.518497076794679,0.0971907605012606,0.715358393234007
"svmLinear2","3-steps",0.525508699795025,0.0984327933485659,0.724194757031236
"VMD-STACK","6-steps",0.626250239402529,0.11478518890042,0.849474721156205
"knn","6-steps",0.632068164771228,0.11289573946924,0.869057001276554
"pls","6-steps",0.58454567825328,0.106282308476674,0.800958194588367
"ridge","6-steps",0.583978682703688,0.10615991241859,0.800313693297516
"svmLinear2","6-steps",0.59967982119919,0.108215146137146,0.822800473696797
"VMD-STACK","12-steps",0.731388865884334,0.137078270515857,0.978261711015247
"knn","12-steps",0.699878438837303,0.123535503411665,0.978795758520684
"pls","12-steps",0.641845032854765,0.116259522313109,0.872435460260083
"ridge","12-steps",0.640331473261837,0.11595534572975,0.871215156974327
"svmLinear2","12-steps",0.695462024767279,0.124328201890608,0.949400534680332
