"model","FH","MAE","MAPE","RMSE"
"STACK","3-steps",0.469259205507854,0.0695501577209884,0.600746752394523
"knn","3-steps",0.473147684821792,0.070085902241275,0.604498027760396
"pls","3-steps",0.457015738741422,0.0678721502888055,0.591242946581101
"ridge","3-steps",0.456726729019982,0.0678294623628708,0.591104934290195
"svmLinear2","3-steps",0.460231975809033,0.0684570873276305,0.595992288141134
"STACK","6-steps",0.541727694348683,0.0805172088213199,0.696860489159606
"knn","6-steps",0.550670614934008,0.0826188809098138,0.707014727194545
"pls","6-steps",0.514517222713913,0.0769575095714383,0.663615664543346
"ridge","6-steps",0.514053540264504,0.0768727667555845,0.66330524267259
"svmLinear2","6-steps",0.517524870000761,0.0776046097429926,0.668766682007069
"STACK","12-steps",0.627693384601956,0.0946798657065293,0.801675380912534
"knn","12-steps",0.659591800395372,0.100701137477038,0.852524842151536
"pls","12-steps",0.602216218835555,0.0910554728666994,0.773875896700438
"ridge","12-steps",0.601876673369294,0.0909810838569517,0.773384792044006
"svmLinear2","12-steps",0.60703193170556,0.0921489997921447,0.779914131418704
