"model","FH","MAE","MAPE","RMSE"
"VMD_SSA-STACK","3-steps",0.199387722734421,0.0289872017641921,0.261971235933231
"knn","3-steps",0.238429920978565,0.0348319878742653,0.30734107026666
"pls","3-steps",0.205839739485583,0.030024387453547,0.269450960992022
"ridge","3-steps",0.205438458871134,0.0299759520388784,0.269066974445094
"svmLinear2","3-steps",0.249342005809515,0.0362798743867006,0.31758566792718
"VMD_SSA-STACK","6-steps",0.226909480492274,0.0329407497597722,0.294846061649278
"knn","6-steps",0.284382322396294,0.041677243838935,0.372364292756957
"pls","6-steps",0.2337818140615,0.0341184958488927,0.304312235488931
"ridge","6-steps",0.229869461543089,0.0335437433527471,0.299915863604465
"svmLinear2","6-steps",0.327377023194266,0.0479144126886714,0.422588934756046
"VMD_SSA-STACK","12-steps",0.344072044652606,0.0497647903963584,0.458985822772349
"knn","12-steps",0.433414443610963,0.0632808722393963,0.576820021207923
"pls","12-steps",0.320749037920479,0.0465581491685859,0.432326166655816
"ridge","12-steps",0.313808221561251,0.0455737201207144,0.424017685055057
"svmLinear2","12-steps",0.529516803190814,0.0804102399544357,0.707705199998372
