"model","FH","MAE","MAPE","RMSE"
"SSA-STACK","3-steps",0.468248106113502,0.0879654709437275,0.658976447303827
"knn","3-steps",0.512096279991675,0.0956302148264215,0.714284907709648
"pls","3-steps",0.479969842604816,0.0887105560683327,0.663952608843973
"ridge","3-steps",0.461627961527296,0.0866638764394848,0.644569600879429
"svmLinear2","3-steps",0.469628324654979,0.0885071793658878,0.656315137673771
"SSA-STACK","6-steps",0.544170803352008,0.100504145540862,0.753421155232188
"knn","6-steps",0.59031079513608,0.107413507195068,0.815370614417605
"pls","6-steps",0.555756295094017,0.10196357660318,0.757656770601477
"ridge","6-steps",0.545327358120078,0.101464085016397,0.755211707545638
"svmLinear2","6-steps",0.562272787507165,0.104456036243688,0.783274205601728
"SSA-STACK","12-steps",0.609359029597706,0.112389886777465,0.830777255531762
"knn","12-steps",0.664791732977782,0.120348498634024,0.911314304448526
"pls","12-steps",0.599389929811504,0.109803402369549,0.819176693554692
"ridge","12-steps",0.610280777868191,0.112237756212938,0.833426356663316
"svmLinear2","12-steps",0.667310146373397,0.123215004239693,0.922863480698815
