"model","FH","MAE","MAPE","RMSE"
"STACK","3-steps",0.569223594618222,0.108186820353091,0.801949223440937
"knn","3-steps",0.589457272225129,0.111162702737402,0.828660385928959
"pls","3-steps",0.562487382126612,0.106204384500032,0.793749943699449
"ridge","3-steps",0.561878810175057,0.106210536445911,0.793558565981275
"svmLinear2","3-steps",0.56120927111587,0.107784789079196,0.795266481579718
"STACK","6-steps",0.710966746603686,0.129379788851604,0.983695700530352
"knn","6-steps",0.694027450723879,0.126258040433365,0.966880973668074
"pls","6-steps",0.658571483397399,0.11755186660517,0.931393275982912
"ridge","6-steps",0.657868798381273,0.117495642000447,0.930840874590903
"svmLinear2","6-steps",0.658982763951436,0.118678094816393,0.932788623968806
"STACK","12-steps",0.855133576312708,0.159306174844355,1.16747324658632
"knn","12-steps",0.843116605616606,0.151418441082952,1.16042369336488
"pls","12-steps",0.797017137470464,0.140556823779466,1.09742731908798
"ridge","12-steps",0.796109037538221,0.140509086166637,1.09705297882036
"svmLinear2","12-steps",0.793935489824102,0.141561129290658,1.09950266384131
