"model","FH","MAE","MAPE","RMSE"
"VMD-STACK","Six-steps",0.267803363555552,0.0563038707369359,0.364422237125498
"lasso","Six-steps",0.266365615376913,0.0554608031760989,0.365006078576213
"lm","Six-steps",0.26636603165128,0.0572005377961251,0.364250941373787
"mlp","Six-steps",0.288310217535148,0.0619503175808249,0.385287715067087
"VMD-STACK","Twelve-steps",0.560988085930207,0.108236671608352,0.774864830905396
"lasso","Twelve-steps",0.570070901202006,0.109355610839041,0.783084774931003
"lm","Twelve-steps",0.578843644701632,0.111015333505199,0.794037923463491
"mlp","Twelve-steps",0.733198235451851,0.165927107795885,1.02906340282478
"VMD-STACK","Twenty-four-steps",0.576083191245069,0.110164160575997,0.784230242491375
"lasso","Twenty-four-steps",0.578922086474207,0.110475928486672,0.787947732597106
"lm","Twenty-four-steps",0.584992975091714,0.111906732198311,0.795761791694363
"mlp","Twenty-four-steps",0.946923634462328,Inf,1.30120731009848
