"model","FH","MAE","MAPE","RMSE"
"VMD-SSA-STACK","Six-steps",0.438918957047398,0.0626110041834827,0.564218546484596
"lasso","Six-steps",0.440335484788613,0.0626255995879997,0.565928144806843
"lm","Six-steps",0.43998503355353,0.0625903114979519,0.565308296328964
"mlp","Six-steps",0.459871689498324,0.065234005655056,0.592073529571825
"VMD-SSA-STACK","Twelve-steps",0.634211397865963,0.0888821208757926,0.824921725711202
"lasso","Twelve-steps",0.637500537035364,0.0891994506474043,0.828081719465382
"lm","Twelve-steps",0.63696375847087,0.0891288007291128,0.82721552583355
"mlp","Twelve-steps",0.699690958147559,0.0986970221573936,0.891119235861906
"VMD-SSA-STACK","Twenty-four-steps",0.699989893083615,0.097863320823087,0.904725710609937
"lasso","Twenty-four-steps",0.664438047743525,0.0926590424821331,0.85941633097307
"lm","Twenty-four-steps",0.663488380660959,0.0925410904299112,0.857999747030821
"mlp","Twenty-four-steps",0.837798282742968,0.120992426547545,1.05615954510983
