"model","FH","MAE","MAPE","RMSE"
"SSA-STACK","1-steps",0.275908466653218,0.0528284840983637,0.373978879583243
"knn","1-steps",0.378715212975484,0.0712770763153371,0.519593552535107
"pls","1-steps",0.328376504721481,0.062282223487449,0.444180894195082
"ridge","1-steps",0.272458265348669,0.0558848809094089,0.371314275052068
"svmLinear2","1-steps",0.279747310455971,0.0576020167563911,0.380012738875474
"SSA-STACK","3-steps",0.468248106113502,0.0879654709437275,0.658976447303827
"knn","3-steps",0.512096279991675,0.0956302148264215,0.714284907709648
"pls","3-steps",0.479969842604816,0.0887105560683327,0.663952608843973
"ridge","3-steps",0.461627961527296,0.0866638764394848,0.644569600879429
"svmLinear2","3-steps",0.469628324654979,0.0885071793658878,0.656315137673771
"SSA-STACK","6-steps",0.544389185687852,0.100371905451752,0.752882285738024
"knn","6-steps",0.59031079513608,0.107413507195068,0.815370614417605
"pls","6-steps",0.555756295094017,0.10196357660318,0.757656770601477
"ridge","6-steps",0.545327358120078,0.101464085016397,0.755211707545638
"svmLinear2","6-steps",0.562272787507165,0.104456036243688,0.783274205601728
