"model","FH","MAE","MAPE","RMSE"
"VMD-STACK","1-steps",0.349779195823367,0.050840323261278,0.457580088530421
"knn","1-steps",0.356575582468784,0.0519481384956475,0.463139601705827
"pls","1-steps",0.351595768435627,0.0511383758228385,0.458429555133064
"ridge","1-steps",0.351571824223678,0.0511463899197177,0.458182761301383
"svmLinear2","1-steps",0.36686076750192,0.0543591660773927,0.473878263670753
"VMD-STACK","3-steps",0.417590779444528,0.0605317658039059,0.541149474064039
"knn","3-steps",0.422784408583688,0.0615188689735083,0.546410023603661
"pls","3-steps",0.409935784341817,0.059422086369865,0.530238175126552
"ridge","3-steps",0.409588440370508,0.0593880920182938,0.530086717547006
"svmLinear2","3-steps",0.42970516518271,0.0636296801840595,0.554496918072285
"VMD-STACK","6-steps",0.436647578742769,0.0629259591852318,0.566600561031093
"knn","6-steps",0.45516556540611,0.0660664923495111,0.589985185278701
"pls","6-steps",0.431151485180393,0.062395345791214,0.556990869136777
"ridge","6-steps",0.431068612303168,0.0623924183132366,0.556839699802214
"svmLinear2","6-steps",0.466956908400945,0.0692558933327678,0.597417485308857
