"model","FH","MAE","MAPE","RMSE"
"STACK","1-steps",0.379897702118707,0.0559204812262075,0.493864951523198
"knn","1-steps",0.390999553934822,0.0575021297726488,0.504481845646416
"pls","1-steps",0.377047591538426,0.0557426876248269,0.492177041100903
"ridge","1-steps",0.377255835032107,0.0557765759063223,0.492135538899987
"svmLinear2","1-steps",0.378068094052369,0.0559621061442826,0.493624435596251
"STACK","3-steps",0.469259205507854,0.0695501577209884,0.600746752394523
"knn","3-steps",0.473147684821792,0.070085902241275,0.604498027760396
"pls","3-steps",0.457015738741422,0.0678721502888055,0.591242946581101
"ridge","3-steps",0.456726729019982,0.0678294623628708,0.591104934290195
"svmLinear2","3-steps",0.460231975809033,0.0684570873276305,0.595992288141134
"STACK","6-steps",0.541727694348683,0.0805172088213199,0.696860489159606
"knn","6-steps",0.550670614934008,0.0826188809098138,0.707014727194545
"pls","6-steps",0.514517222713913,0.0769575095714383,0.663615664543346
"ridge","6-steps",0.514053540264504,0.0768727667555845,0.66330524267259
"svmLinear2","6-steps",0.517524870000761,0.0776046097429926,0.668766682007069
