"model","FH","MAE","MAPE","RMSE"
"STACK","1-steps",0.435629840313442,0.0839097121047118,0.609951054188125
"knn","1-steps",0.466475376475376,0.0887053309370459,0.646037878470311
"pls","1-steps",0.430401695070924,0.0821771008444475,0.608596723338895
"ridge","1-steps",0.430236634781545,0.0822018374810082,0.6084103193068
"svmLinear2","1-steps",0.428216667893891,0.0824885685326357,0.606594377812382
"STACK","3-steps",0.568945991921993,0.108024750956078,0.800720943821255
"knn","3-steps",0.589457272225129,0.111162702737402,0.828660385928959
"pls","3-steps",0.562487382126612,0.106204384500032,0.793749943699449
"ridge","3-steps",0.561878810175057,0.106210536445911,0.793558565981275
"svmLinear2","3-steps",0.56120927111587,0.107784789079196,0.795266481579718
"STACK","6-steps",0.712437890162544,0.129727031009456,0.984005256104864
"knn","6-steps",0.694027450723879,0.126258040433365,0.966880973668074
"pls","6-steps",0.658571483397399,0.11755186660517,0.931393275982912
"ridge","6-steps",0.657868798381273,0.117495642000447,0.930840874590903
"svmLinear2","6-steps",0.658982763951436,0.118678094816393,0.932788623968806
