"model","FH","MAE","MAPE","RMSE"
"VMD_SSA-STACK","1-steps",0.196523189450067,0.0287091157319348,0.259915572809756
"knn","1-steps",0.220961049684401,0.0322626530563651,0.288414039375141
"pls","1-steps",0.200081453572681,0.0291031762810379,0.261449535492948
"ridge","1-steps",0.201373227807191,0.0293316328781133,0.263317154195254
"svmLinear2","1-steps",0.225359761805151,0.0328841811800273,0.287841958879896
"VMD_SSA-STACK","3-steps",0.199235953887304,0.0289735100501463,0.261832465557674
"knn","3-steps",0.238429920978565,0.0348319878742653,0.30734107026666
"pls","3-steps",0.205839739485583,0.030024387453547,0.269450960992022
"ridge","3-steps",0.205438458871134,0.0299759520388784,0.269066974445094
"svmLinear2","3-steps",0.249342005809515,0.0362798743867006,0.31758566792718
"VMD_SSA-STACK","6-steps",0.226697172815838,0.0329161579528428,0.294601148227407
"knn","6-steps",0.284382322396294,0.041677243838935,0.372364292756957
"pls","6-steps",0.2337818140615,0.0341184958488927,0.304312235488931
"ridge","6-steps",0.229869461543089,0.0335437433527471,0.299915863604465
"svmLinear2","6-steps",0.327377023194266,0.0479144126886714,0.422588934756046
