"model","FH","MAE","MAPE","RMSE"
"VMD-SSA-STACK","Six-steps",0.346461761906543,0.0499387274659984,0.45080956160222
"lasso","Six-steps",0.347742461937838,0.0500660018827134,0.449170947259819
"lm","Six-steps",0.349231662535464,0.0502833624473221,0.451918991131518
"mlp","Six-steps",0.356718367371539,0.051310528342068,0.466824425425569
"VMD-SSA-STACK","Twelve-steps",0.452111275741338,0.0642823840269547,0.579239834536405
"lasso","Twelve-steps",0.452896379085202,0.0645250617167147,0.580864107551982
"lm","Twelve-steps",0.453467307683349,0.0646098491192775,0.581518935166004
"mlp","Twelve-steps",0.525819037983237,0.0720609730507072,0.725980198274144
"VMD-SSA-STACK","Twenty-four-steps",0.494456276337662,0.069747007051083,0.640990892328592
"lasso","Twenty-four-steps",0.470829495155271,0.0669972460572472,0.610537501794252
"lm","Twenty-four-steps",0.471072422198091,0.0670474011485996,0.610602101283281
"mlp","Twenty-four-steps",0.600687956465685,0.0802958266289752,0.85053330141057
