"","10 min","30 min","60 min","10 min","30 min","60 min","10 min","30 min","60 min"
"A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"V",-24.3697723301422,-20.581899340363,-16.1874923142664,-20.3678326711667,-17.0087984333916,-13.6961839139938,-23.4621340508371,-18.3057760981546,-15.4372552672567
"W",-23.7759955576681,-19.9020161751396,-15.4068105697001,-20.5144257844717,-17.6334679186073,-13.448203951354,-23.1796409075529,-18.6072136860391,-15.7192041091236
"X",-24.2159579870308,-19.9660136526752,-16.2717561181302,-20.2278638916005,-16.5561982386836,-13.2863111283174,-23.0203962147174,-18.3043700576095,-15.3010635163565
"F",-11.0741290820058,-5.95176173432897,-11.2037359219842,-4.3488401528894,-6.0970360442817,-10.7643348348257,-6.43478469921811,-3.17791001051322,-10.9993564485087
